Month,Month_Name,Hour,Solar_Elevation,Solar_Azimuth,Optimal_Tilt_Fixed,Optimal_Tilt_Tracking,Season,Recommended_Azimuth
5,May,12,81.51,64.92,0,8.49,Summer,180
5,May,13,82.1,296.97,0,7.9,Summer,180
5,May,14,68.49,282.67,0,21.51,Summer,180
5,May,15,54.37,281.21,0,35.63,Summer,180
5,May,16,40.22,282.08,0,49.78,Summer,180
5,May,17,26.15,283.97,0,63.85,Summer,180
5,May,18,12.22,286.67,0,77.78,Summer,180
6,June,7,11.52,68.98,0,78.48,Summer,180
6,June,8,25.13,71.37,0,64.87,Summer,180
6,June,9,38.88,72.59,0,51.12,Summer,180
6,June,10,52.66,72.08,0,37.34,Summer,180
6,June,11,66.28,67.62,0,23.72,Summer,180
6,June,12,78.71,46.32,0,11.29,Summer,180
6,June,13,80.43,323.63,0,9.57,Summer,180
6,June,14,68.67,294.18,0,21.33,Summer,180
6,June,15,55.14,288.33,0,34.86,Summer,180
6,June,16,41.37,287.36,0,48.63,Summer,180
6,June,17,27.6,288.33,0,62.4,Summer,180
6,June,18,13.97,290.53,0,76.03,Summer,180
6,June,19,0.73,293.95,0,89.27,Summer,180
7,July,7,9.93,70.72,0,80.07,Summer,180
7,July,8,23.68,73.41,0,66.32,Summer,180
7,July,9,37.59,75.1,0,52.41,Summer,180
7,July,10,51.57,75.51,0,38.43,Summer,180
7,July,11,65.5,73.13,0,24.5,Summer,180
7,July,12,78.82,58.89,0,11.18,Summer,180
7,July,13,82.73,319.54,0,7.27,Summer,180
7,July,14,70.3,289.2,0,19.7,Summer,180
7,July,15,56.46,284.77,0,33.54,Summer,180
7,July,16,42.47,284.5,0,47.53,Summer,180
7,July,17,28.52,285.81,0,61.48,Summer,180
7,July,18,14.7,288.15,0,75.3,Summer,180
7,July,19,1.1,291.49,0,88.9,Summer,180
8,August,7,8.59,78.3,0,81.41,Summer,180
8,August,8,22.81,81.63,0,67.19,Summer,180
8,August,9,37.13,84.68,0,52.87,Summer,180
8,August,10,51.52,87.79,0,38.48,Summer,180
8,August,11,65.9,91.75,0,24.1,Summer,180
8,August,12,80.03,100.89,0,9.97,Summer,180
8,August,13,83.88,254.11,0,6.12,Summer,180
8,August,14,70.0,266.88,0,20.0,Summer,180
8,August,15,55.63,271.23,0,34.37,Summer,180
8,August,16,41.22,274.4,0,48.78,Summer,180
8,August,17,26.87,277.38,0,63.13,Summer,180
8,August,18,12.6,280.57,0,77.4,Summer,180
8,August,19,0.19,288.03,0,89.81,Summer,180
9,September,7,8.0,89.44,15,82.0,Equinox,180
9,September,8,22.42,93.59,15,67.58,Equinox,180
9,September,9,36.76,98.49,15,53.24,Equinox,180
9,September,10,50.85,105.4,15,39.15,Equinox,180
9,September,11,64.25,117.76,15,25.75,Equinox,180
9,September,12,75.0,148.31,15,15.0,Equinox,180
9,September,13,75.03,211.74,15,14.97,Equinox,180
9,September,14,64.13,242.58,15,25.87,Equinox,180
9,September,15,50.67,254.72,15,39.33,Equinox,180
9,September,16,36.55,261.52,15,53.45,Equinox,180
9,September,17,22.19,266.36,15,67.81,Equinox,180
9,September,18,7.76,270.45,15,82.24,Equinox,180
10,October,7,6.96,101.3,15,83.04,Equinox,180
10,October,8,20.97,106.19,15,69.03,Equinox,180
10,October,9,34.58,112.77,15,55.42,Equinox,180
10,October,10,47.37,122.64,15,42.63,Equinox,180
10,October,11,58.33,139.19,15,31.67,Equinox,180
10,October,12,64.96,167.59,15,25.04,Equinox,180
10,October,13,63.61,202.57,15,26.39,Equinox,180
10,October,14,55.2,226.98,15,34.8,Equinox,180
10,October,15,43.46,240.91,15,46.54,Equinox,180
10,October,16,30.33,249.46,15,59.67,Equinox,180
10,October,17,16.56,255.35,15,73.44,Equinox,180
10,October,18,2.46,259.87,15,87.54,Equinox,180
11,November,7,4.27,110.53,30,85.73,Winter,180
11,November,8,17.57,115.65,30,72.43,Winter,180
11,November,9,30.18,122.82,30,59.82,Winter,180
11,November,10,41.59,133.33,30,48.41,Winter,180
11,November,11,50.7,149.19,30,39.3,Winter,180
11,November,12,55.62,171.63,30,34.38,Winter,180
11,November,13,54.55,196.62,30,35.45,Winter,180
11,November,14,47.95,216.86,30,42.05,Winter,180
11,November,15,37.89,230.63,30,52.11,Winter,180
11,November,16,25.99,239.81,30,64.01,Winter,180
11,November,17,13.11,246.16,30,76.89,Winter,180
11,November,18,0.2,254.05,30,89.8,Winter,180
12,December,7,1.18,114.13,30,88.82,Winter,180
12,December,8,13.49,118.94,30,76.51,Winter,180
12,December,9,25.72,125.74,30,64.28,Winter,180
12,December,10,36.72,135.5,30,53.28,Winter,180
12,December,11,45.57,149.63,30,44.43,Winter,180
12,December,12,50.75,168.87,30,39.25,Winter,180
12,December,13,50.8,190.76,30,39.2,Winter,180
12,December,14,45.69,210.07,30,44.31,Winter,180
12,December,15,36.89,224.28,30,53.11,Winter,180
12,December,16,25.92,234.1,30,64.08,Winter,180
12,December,17,13.71,240.94,30,76.29,Winter,180
12,December,18,1.08,245.49,30,88.92,Winter,180
